aac71217.2	380
aac71218.2	310
aac71219.1	650
aac71220.1	836
aac71221.1	417
aac71222.1	210
aac71223.1	254
aac71224.1	442
aac71225.1	262
aac71226.1	218
aac71227.1	287
aac71228.1	287
aac71229.2	273
aac71230.1	623
aac71231.1	589
aac71234.2	1031
aac71235.1	389
aac71236.1	308
aac71237.1	512
aac71238.1	145
aac71239.1	288
aac71240.1	367
aac71241.1	298
aac71242.1	190
aac71243.1	151
aac71244.1	201
aac71245.1	186
aac71246.1	206
aac71247.1	1451
aac71248.1	666
aac71249.1	258
aac71250.1	213
aac71251.1	414
aac71252.1	550
aac71253.1	450
aac71254.1	508
aac71255.1	384
aac71256.1	591
aac71257.1	88
aac71258.1	559
aac71259.1	285
aac71260.1	284
aac71261.1	483
aac71262.1	315
aac71263.1	383
aac71264.1	446
aac71265.2	238
aac71266.1	223
aac71267.1	421
aac71268.1	130
aac71269.1	550
aac71270.1	316
aac71271.1	123
aac71272.1	48
aac71281.1	127
aac71273.1	277
aac71274.1	178
aac71275.2	332
aac71276.1	145
aac71277.1	297
aac71278.2	567
aac71279.1	680
aac71280.2	303
aac71282.1	1331
aac71283.1	466
aac71284.1	648
aac71285.1	516
aac71286.1	474
aac71287.1	908
aac71288.1	284
aac71289.1	874
aac71290.1	806
aac71291.1	656
aac71292.1	137
aac71293.1	1024
aac71294.1	138
aac71295.1	407
aac71296.1	376
aac71297.1	402
aac71298.1	848
aac71299.1	137
aac71300.1	226
aac71301.1	189
aac71302.1	290
aac71303.1	311
aac71304.1	382
aac71305.1	139
aac71306.1	155
aac71307.1	688
aac71308.1	208
aac71309.1	160
aac71310.1	105
aac71311.1	150
aac71312.2	468
aac71313.1	398
aac71314.1	650
aac71315.1	245
aac71316.1	477
aac71317.1	477
aac71318.1	477
aac71319.1	222
aac71320.1	315
aac71321.1	280
abc59632.1	77
aac71322.1	725
aac71323.2	200
aac71324.2	193
aac71325.1	189
aac71326.1	260
aac71327.2	387
aac71328.1	278
aac71329.1	433
aac71330.1	209
aac71331.1	456
