aac71462.1	620
aac71463.1	630
aac71464.1	703
aac71465.1	165
aac71466.1	281
aac71467.1	239
aac71468.1	218
aac71469.1	497
aac71470.1	607
aac71471.1	446
aac71472.1	242
aac71473.1	428
aac71474.1	659
aac71475.1	365
aac71480.2	150
aac71476.1	256
aac71477.1	97
aac71478.1	359
aac71479.1	456
aac71481.1	765
aac71482.1	874
aac71483.1	291
aac71484.1	284
aac71485.1	291
aac71486.1	198
aac71487.1	278
aac71488.1	792
aac71489.1	115
aac71490.1	228
aac71491.1	340
aac71492.1	336
aac71493.1	457
aac71494.1	384
aac71495.1	326
aac71496.1	358
aac71497.2	478
aac71498.1	180
aac71499.1	970
aac71500.1	720
aac71501.1	218
aac71502.2	265
aac71503.1	556
aac71504.1	161
aac71505.1	483
aac71506.1	132
aac71507.1	347
aac71508.1	196
aac71509.1	84
aac71510.1	368
aac71511.1	245
aac71512.1	543
aac71518.1	138
aac71513.1	900
aac71514.1	244
aac71515.1	474
aac71516.1	367
aac71517.1	129
aac71519.1	346
aac71520.1	982
aac71521.1	320
aac71522.2	411
aac71523.1	337
aac71524.1	317
aac71525.1	357
aac71526.2	270
aac71527.1	595
aac71528.1	393
aac71529.1	1177
aac71530.1	410
aac71531.2	1225
aac71532.1	268
aac71533.1	205
aac71534.1	1139
aac71535.1	287
aac71536.1	443
aac71537.1	297
aac71538.1	369
aac71539.1	599
aac71540.1	280
aac71541.1	178
aac71542.1	286
aac71543.1	934
aac71544.1	558
aac71545.1	227
aac71548.1	269
aac71546.1	354
aac71547.1	53
aac71550.1	295
aac71551.1	268
aac71552.1	756
aac71553.1	448
aac71554.1	217
aac71555.1	212
aac71556.1	239
aac71557.1	837
aac71558.1	191
aac71560.1	73
aac71559.1	341
aac71561.1	408
aac71562.1	138
aac71563.2	1270
aac71564.1	340
aac71565.2	1292
aac71566.1	1390
aac71567.1	168
aac71568.1	346
aac71569.1	273
aac71570.2	895
aac71571.1	166
aac71572.1	210
aac71573.1	322
aac71574.1	404
aac71575.1	311
aac71586.1	224
aac71576.1	184
aac71577.1	166
aac71578.1	109
aac71579.1	137
aac71580.1	714
aac71581.1	280
aac71582.1	393
aac71583.2	205
aac71584.1	307
aac71585.1	411
aac71587.1	162
aac71588.1	122
aac71589.1	57
aac71590.1	88
aac71591.1	224
aac71592.1	311
aac71593.1	667
aac71594.1	262
aac71595.1	328
aac71596.1	557
aac71597.1	323
aac71598.1	324
aac71599.1	385
aac71600.1	281
aac71601.1	274
aac71602.1	564
aac71603.1	104
aac71604.1	193
aac71605.1	537
aac71606.1	612
aac71607.1	192
aac71608.1	218
aac71609.1	213
aac71610.1	248
aac71611.1	433
aac71616.1	149
aac71612.1	236
aac71613.1	1616
aac71614.1	290
aac71615.2	154
aac71617.1	127
aac71618.1	660
aac71619.1	447
aac71620.2	543
aac71621.1	110
aac71622.1	406
aac71623.1	524
aac71624.1	152
aac71625.1	566
aac71626.1	133
aac71627.1	476
aac71628.1	279
aac71629.1	518
aac71630.1	176
aac71631.1	208
aac71632.1	102
aac71633.1	292
aac71634.2	158
aac71635.1	458
aac71636.1	157
aac71637.1	225
aac71638.1	329
aac71639.1	654
aac71640.1	377
aac71641.1	1036
abc59634.1	664
aac71643.1	132
aac71644.1	146
aac71650.2	597
aac71645.1	954
aac71646.1	835
aac71647.1	561
aac71648.1	86
aac72446.1	449
aac72447.1	64
aac72448.1	141
aac72449.1	171
aac72450.1	572
aac72451.2	507
aac72452.1	244
aac72453.1	398
aac72454.1	298
aac72455.1	243
aac72456.1	183
aac72458.2	397
aac72457.1	383
aac72459.1	272
aac72460.1	258
aac72461.1	136
aac72462.1	270
aac72463.1	395
aac72464.1	119
aac72465.1	231
aac72466.2	95
aac72467.1	547
aac72468.1	150
aac72470.2	290
aac72471.1	394
aac72472.1	261
aac72473.1	292
aac72474.1	155
aac72475.2	396
aac72476.1	334
aac72477.1	702
aac72478.1	175
aac72479.1	169
aac72480.1	312
aac72481.2	425
aac72482.1	484
aac72483.1	259
aac72484.1	385
aac72485.1	128
aac72486.1	48
aac72487.1	311
aac72488.1	1783
aac72489.1	284
aac72490.1	437
aac72491.1	269
